skill
python
java
c
c++
c#
javascript
html
css
sql
mysql
postgresql
mongodb
excel
power bi
tableau
pandas
numpy
matplotlib
statistics
machine learning
deep learning
artificial intelligence
scikit-learn
tensorflow
pytorch
nlp
nltk
spacy
transformers
hugging face
opencv
cnn
yolo
llm
rag
api
fastapi
flask
django
docker
kubernetes
aws
azure
gcp
linux
git
github
mlflow
data visualization
oops
